GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001 Eddy Scaling:     1.000
# Statistical Models Only:  F Apex:  T
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T Updated Turbulent Conduction:  F
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
      60 2017  8 21  0  4 31 287  4.6170    177.38907    908.41899    811.11610    -33.50751     32.62717     -5.54771     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12186   0.20272  -1.00000
      61 2017  8 21  0  4 35 905  4.6175    177.38731    909.59413    811.34616    -34.30439     33.60553     -5.45070     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12153   0.20272  -1.00000
      62 2017  8 21  0  4 40 523  4.6183    177.38995    910.52783    811.60431    -37.23571     35.37767     -5.33596     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12119   0.20272  -1.00000
      63 2017  8 21  0  4 45 143  4.6200    177.38847    911.88921    811.89021    -39.88790     36.06333     -5.19682     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12086   0.20272  -1.00000
      64 2017  8 21  0  4 49 766  4.6228    177.37941    912.80602    812.20225    -40.84615     36.84209     -5.03393     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12052   0.20272  -1.00000
      65 2017  8 21  0  4 54 392  4.6264    177.36918    913.59634    812.53903    -39.73554     38.58776     -4.84970     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12018   0.20272  -1.00000
      66 2017  8 21  0  4 59  22  4.6302    177.36193    914.67168    812.89730    -41.86060     39.14255     -4.64318     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11985   0.20272  -1.00000
      67 2017  8 21  0  5  3 655  4.6329    177.34621    915.20767    813.27273    -42.88811     40.34294     -4.41490     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11951   0.20272  -1.00000
      68 2017  8 21  0  5  8 289  4.6338    177.32661    916.01513    813.66027    -45.53223     42.11642     -4.16840     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11917   0.20271  -1.00000
      69 2017  8 21  0  5 12 923  4.6335    177.31459    916.66309    814.05296    -48.80985     42.56267     -3.89589     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11884   0.20271  -1.00000
